,geo,OBS_VALUE
39,ALB,2829741
62,AM,2963251
84,AT,8932664
107,AZ,10119133
149,BEL,11554767
172,BG,6916548
215,CH,8670300
238,CY,896007
261,CZ,10494836
284,DE,83155031
307,DK,5840045
330,EE,1330068
353,EL,10678632
376,ESP,47398695
399,EU27_2020,447000548
422,FI,5533793
445,FRA,67656682
467,GE,3728573
490,HR,4036355
513,HU,9730772
536,IE,5006324
559,IS,368792
582,IT,59236213
605,LI,39055
628,LT,2795680
651,LU,634730
674,LV,1893223
703,MD,2597107
726,ME,620739
749,MK,2068808
772,MT,516100
795,NL,17475415
818,NO,5391369
841,PL,37840001
864,PT,10298252
887,RO,19201662
910,RS,6871547
946,SE,10379295
969,SI,2108977
992,SK,5459781
1011,SM,34805
1034,TR,83614362
1057,UA,41418717
1097,XK,1798188
